"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "12959006","product",,,,,,,,,,,,,,,,,
 "13244913","product",,,,,,,,,,,,,,,,,
 "52030815","product",,,,,,,,,,,,,,,,,
 "13393556","product",,,,,,,,,,,,,,,,,
 "12946397","product",,,,,,,,,,,,,,,,,
 "12959588","product",,,,,,,,,,,,,,,,,
 "12959007","product",,,,,,,,,,,,,,,,,
 "13393555","product",,,,,,,,,,,,,,,,,
 "17412642","product",,,,,,,,,,,,,,,,,
 "78795249","product",,,,,,,,,,,,,,,,,
 "79580862","product",,,,,,,,,,,,,,,,,
 "79580866","product",,,,,,,,,,,,,,,,,
 "79578278","product",,,,,,,,,,,,,,,,,
 "79397118","product",,,,,,,,,,,,,,,,,
 "79580701","product",,,,,,,,,,,,,,,,,
 "79580700","product",,,,,,,,,,,,,,,,,
 "79397039","product",,,,,,,,,,,,,,,,,
 "79516931","product",,,,,,,,,,,,,,,,,
 "79517006","product",,,,,,,,,,,,,,,,,
 "54452132","product",,,,,,,,,,,,,,,,,
 "82073747","product",,,,,,,,,,,,,,,,,
 "82421187","product",,,,,,,,,,,,,,,,,
 "82421186","product",,,,,,,,,,,,,,,,,
 "79580907","product",,,,,,,,,,,,,,,,,
 "79580699","product",,,,,,,,,,,,,,,,,
 "82096105","product",,,,,,,,,,,,,,,,,
 "82096167","product",,,,,,,,,,,,,,,,,
 "82421191","product",,,,,,,,,,,,,,,,,
 "78470748","product",,,,,,,,,,,,,,,,,
 "79582391","product",,,,,,,,,,,,,,,,,
 "78470749","product",,,,,,,,,,,,,,,,,
 "79580863","product",,,,,,,,,,,,,,,,,
 "13187871","product",,,,,,,,,,,,,,,,,
 "79580864","product",,,,,,,,,,,,,,,,,
 "13183138","product",,,,,,,,,,,,,,,,,
 "52845927","product",,,,,,,,,,,,,,,,,
 "13183384","product",,,,,,,,,,,,,,,,,
 "79397107","product",,,,,,,,,,,,,,,,,
 "82421190","product",,,,,,,,,,,,,,,,,
 "50538730","product",,,,,,,,,,,,,,,,,
 "79580909","product",,,,,,,,,,,,,,,,,
 "79580988","product",,,,,,,,,,,,,,,,,
 "14753393","product",,,,,,,,,,,,,,,,,
 "86881520","product",,,,,,,,,,,,,,,,,
 "82096166","product",,,,,,,,,,,,,,,,,
 "14753395","product",,,,,,,,,,,,,,,,,
 "82073768","product",,,,,,,,,,,,,,,,,
 "13190421","product",,,,,,,,,,,,,,,,,
 "26398456","product",,,,,,,,,,,,,,,,,
 "79344003","product",,,,,,,,,,,,,,,,,
 "79580989","product",,,,,,,,,,,,,,,,,
 "79580985","product",,,,,,,,,,,,,,,,,
 "86881642","product",,,,,,,,,,,,,,,,,
 "79343628","product",,,,,,,,,,,,,,,,,
 "87237499","product",,,,,,,,,,,,,,,,,
 "79397108","product",,,,,,,,,,,,,,,,,
 "79582390","product",,,,,,,,,,,,,,,,,
 "82421189","product",,,,,,,,,,,,,,,,,
 "52099471","product",,,,,,,,,,,,,,,,,
 "54493380","product",,,,,,,,,,,,,,,,,
 "86882103","product",,,,,,,,,,,,,,,,,
 "13183382","product",,,,,,,,,,,,,,,,,
 "13183140","product",,,,,,,,,,,,,,,,,
 "79580865","product",,,,,,,,,,,,,,,,,
 "86881790","product",,,,,,,,,,,,,,,,,
 "86882219","product",,,,,,,,,,,,,,,,,
 "78470750","product",,,,,,,,,,,,,,,,,
 "13435610","product",,,,,,,,,,,,,,,,,
 "79699249","product",,,,,,,,,,,,,,,,,
 "86882823","product",,,,,,,,,,,,,,,,,
 "79582389","product",,,,,,,,,,,,,,,,,
 "79344118","product",,,,,,,,,,,,,,,,,
 "53244828","product",,,,,,,,,,,,,,,,,
